id,filename,duration,phrase
1,121-funny_in_asl.mp4,4.79,funny
2,038-you_prefer_car_bodyshift-or_truck.mp4,6.01,you prefer car or truck
3,127-dont_know_in_asl.mp4,5.8,I don't know
4,100-cell_phone_in_asl.mp4,4.99,cell phone
5,145-trust_in_asl.mp4,6.02,trust
6,046-you_like_dance_you.mp4,3.17,you like dance
7,060-movie_star_your_favorite_who.mp4,4.94,who is your favorite actor?
8,057-scissors_can_you-lend-me.mp4,3.97,can you lend me scissors?
9,108-what_do_you_do_for_work_in_asl.mp4,6.7,what do you do for work?
10,133-how_did_you_get_here_in_asl.mp4,7.02,how did you get here?
11,091-morning-all_all-morning.mp4,2.27,morning all
12,018-nyb-none_of_your_business.mp4,3.15,none of your business
13,036-how-much-1-hand-version.mp4,2.48,how much
14,106-arrive_in_asl.mp4,5.55,arrive
15,124-explain_in_asl.mp4,4.72,explain
16,061-you_look-like_your_mother.mp4,4.67,you look like your mother
17,004-school.mp4,2.81,school
18,104-bluetooth_in_asl.mp4,4.95,bluetooth
19,078-wake-up.mp4,2.77,wake up
20,097-youre_welcome_in_asl.mp4,6.69,you're welcome
21,034-you_like_cook.mp4,2.87,do you like to cook?
22,112-holiday_in_asl.mp4,6.33,holiday
23,109-idiom_fall_head_over_heels_in_love_in_asl.mp4,7.1,fall head over heels in love
24,007-what.mp4,2.11,what
25,120-happen_in_asl.mp4,5.14,happen
26,068-wish-desire.mp4,1.82,wish or desire
27,003-thank-you.mp4,1.94,thank you
28,087-5-dollar_you-mind_you-loan-me.mp4,5.17,would you mind lend me money?
29,071-girlfriend.mp4,2.85,girlfriend
30,047-your_resume_how_many_page.mp4,4.34,how many pages is your resume?
31,101-change_in_asl.mp4,5.14,change
32,098-is_that_true_in_asl.mp4,4.17,is that true?
33,072-dad.mp4,2.55,dad
34,021-you_live_where_where_do_you_live.mp4,3.82, where do you live?
35,029-college_you_graduate_when.mp4,5.77,when you graduate college?
36,096-can_you_read_lips_in_asl.mp4,7.7,can you read lips?
37,026-call-by-phone_called_call-you_hearing_version.mp4,2.2,call by phone
38,114-i_me_in_asl.mp4,6.82,I
39,050-dont_mind.mp4,2.55,don't mind
40,094-hello_in_asl.mp4,4.99,hello
41,122-from_in_asl.mp4,6.09,from
42,139-stupid2_in_asl.mp4,6.59,stupid
43,020-you_married.mp4,2.97,are you married?
44,052-your_last_name_how_spell.mp4,5.94,how to spell your last name?
45,048-cat_got_your_tongue.mp4,2.51,cat got your tongue
46,013-ladywoman.mp4,2.45,lady or woman
47,107-america_in_asl.mp4,5.95,America
48,044-you_haircut_how_often.mp4,3.17,how often you cut your hair?
49,113-hug_in_asl.mp4,5.23,hug
50,085-die_two_hand_version.mp4,3.62,die
51,028-past_weekend_what-do_you_what_did_you_do_last_weekend.mp4,4.31,what did you do past weekend?
52,066-type_fast_can_you.mp4,5.17,can you type fast?
53,049-come-here-1-hand-version.mp4,2.72,come here
54,128-dont_care_in_asl.mp4,5.32,I don't care
55,015-man.mp4,4.02,man
56,075-bored.mp4,2.11,bored
57,019-you_sad_why.mp4,4.41, why are you sad?
58,143-walking_in_asl.mp4,8.09,walking
59,119-help_in_asl.mp4,8.63,help
60,042-you_feel_stupid_sometimes.mp4,5.24,do you feel stupid sometimes
61,010-yeah_yes.mp4,2,yes
62,037-your_city_have_subway.mp4,5.41,does your city have subway
63,055-sew_you_know_how.mp4,4.6,do you know sewing?
64,090-you_think_today_n-i-c-e.mp4,5.41,do you think today is nice?
65,147-traffic_in_asl.mp4,5.65,traffic
66,095-are_you_hungry_in_asl.mp4,6.67,are you hungry
67,017-house.mp4,2.52,house
68,146-up_until_now_in_asl.mp4,7.39,up until now
69,105-beautiful_in_asl.mp4,5.73,beautiful
70,073-boyfriend.mp4,3.2,boyfriend
71,103-birthday2_in_asl.mp4,6.29,birthday
72,092-againrepeat.mp4,3,repeat
73,099-whats_wrong_in_asl.mp4,2.55,what's wrong
74,056-you_have_scarf.mp4,4.1,do you have scarf
75,022-do_what_what-do_what_to_do.mp4,2.54,what to do
76,123-find_in_asl.mp4,5.38,find
77,125-false_fake_in_asl.mp4,4.88,false or fake
78,032-feel_sick_you.mp4,3.2,do you feel sick
79,070-send.mp4,2.52,send
80,083-still.mp4,2.77,still
81,001-it_is_nice_to_meet_you.mp4,5.74,it's nice to meet you
82,059-you_drunk_before.mp4,3.2,have you drunk before
83,134-excuse_me_in_asl.mp4,6.13,excuse me
84,035-picture_your_family_you_have.mp4,4.79,you have picture of your family?
85,088-restroom_where.mp4,2.84, where is restroom?
86,140-that_in_asl.mp4,5.88,that
87,132-cost_in_asl.mp4,5.79,cost
88,012-dont-understand.mp4,2.3,I don't understand
89,067-use_wear.mp4,2.91,use
90,058-you_drive_careful_you.mp4,4.57,drive carefully
91,030-you_think_this_class_easy.mp4,3.82,do you find this class easy?
92,024-book_you_like_read_what-kind.mp4,5.41,what kind of book you like?
93,079-you_afraid_what.mp4,3.01,what are you afraid of?
94,111-i_am_20_years_old_in_asl.mp4,7.17,I am 20 years old
95,118-have_in_asl.mp4,6.48,have
96,141-today_in_asl.mp4,5.98,today
97,074-fearafraidscare_scared.mp4,3.22,scared
98,102-busy_in_asl.mp4,6.59,busy
99,041-movie_you_want_watch.mp4,3.85,what movie you want to watch
100,076-happy.mp4,3.1,happy
101,110-how_old_are_you_in_asl.mp4,7.27,how old are you?
102,063-you_believe_santa_claus_you.mp4,4.67,do you believe in Santa Claus?
103,129-dont_want_in_asl.mp4,5.02,I don't want
104,144-true_in_asl.mp4,4.27,TRUE
105,014-male_boy_dude_guy_fellow.mp4,3,boy
106,065-awful-terrible-two-handed-version.mp4,2.58,awful
107,130-cpr_in_asl.mp4,7.74,CPR
108,077-mad.mp4,2.3,mad
109,008-who.mp4,2.84,who
110,051-hide_seek_you_like_play.mp4,5.18,you like hide and seek
111,142-thats_it_in_asl.mp4,4.49,that's it
112,011-you_name-what.mp4,2.07,what's your name?
113,016-you_live_where.mp4,2.78,where do you live?
114,039-up-to-you-think-self-think-for-yourself.mp4,1.98,up to you
115,117-high_school_in_asl.mp4,5.53,high school
116,086-restroom.mp4,2.3,restroom
117,031-go-to-bed.mp4,2.1,go to bed
118,069-pronoun_you.mp4,2.34,you
119,009-why.mp4,2.84,why
120,080-you_sometimes_feel_lonely_you.mp4,4.19,do you sometimes feel lonely
121,027-you_feel_anxious_when.mp4,5.71,when do you feel anxious?
122,045-your_house_who_manage.mp4,4.77,who manages your house?
123,135-goodnight_in_asl.mp4,4.65,goodnight
124,043-can_keep_secret_you.mp4,4.49,can you keep a secret?
125,005-teacher.mp4,2.85,teacher
126,131-cute_in_asl.mp4,5.38,cute
127,033-you_use_deodorant_do-you.mp4,3.1,do you use deodorant?
128,002-good-morning-compound-version.mp4,2.68,good morning
129,116-handsome_in_asl.mp4,5.94,handsome
130,064-christmas_you_like_snow_you.mp4,4.94,you like snow on Christmas
131,053-food_enough_you.mp4,3.34,you have enough food
132,136-do_you_understand_in_asl.mp4,6.29,do you understand?
133,082-like.mp4,2.45,like
134,089-you_born_where.mp4,3.5,where did you born?
135,115-hurry_in_asl.mp4,4.76,hurry
136,138-sign_language_in_asl.mp4,6.85,sign language
137,062-your_favorite_holiday_what.mp4,3.55,what's your favorite holiday?
138,054-you_prefer_live_single-alone_bodyshift_or_roommate-match_which.mp4,7.82,you prefer living single or with a roommate?
139,084-you_enjoy_camp_you.mp4,4.67,I enjoy camping
140,006-where.mp4,2.74,where
141,025-have_pet_you_if_so_name.mp4,4.84,"you have a pet, what is its name?"
142,093-asl_how_can_i_help_you.mp4,4.92,how can I help you?
143,023-backpack-c-hand_version.mp4,2.05,backpack
144,081-cat.mp4,2.7,cat
145,126-elevator2_in_asl.mp4,4.96,elevator
146,040-hide_and_seek_you_like_play.mp4,5.9,you like hide and seek
147,137-how_much_does_it_cost_in_asl.mp4,4.45,how much does it cost?
